dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,4.0,2.0,0.0,0.0,4.0,7.0,8.0,9.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,8.0,3.0,0.0,0.0,6.0,10.0,9.0,8.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,5.0,3.0,0.0,0.0,4.0,6.0,7.0,7.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,3.0,4.0,0.0,0.0,3.0,8.0,6.0,10.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,4.0,3.0,0.0,0.0,3.0,7.0,7.0,11.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,8.0,4.0,0.0,0.0,6.0,7.0,7.0,10.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,5.0,3.0,0.0,0.0,4.0,6.0,8.0,10.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,6.0,3.0,0.0,0.0,5.0,6.0,9.0,8.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,5.0,4.0,0.0,0.0,3.0,3.0,5.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,3.0,1.0,0.0,0.0,3.0,7.0,8.0,5.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,8.0,3.0,0.0,0.0,5.0,7.0,9.0,9.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,5.0,3.0,0.0,0.0,3.0,7.0,8.0,6.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,6.0,3.0,0.0,0.0,5.0,4.0,7.0,8.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,5.0,5.0,0.0,0.0,4.0,9.0,8.0,9.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,5.0,3.0,0.0,0.0,4.0,4.0,9.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,4.0,4.0,0.0,0.0,3.0,5.0,7.0,6.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.4,6.0,3.0,0.0,0.0,8.0,8.0,9.0,7.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,4.0,2.0,0.0,0.0,6.0,5.0,8.0,6.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,8.0,3.0,0.0,0.0,6.0,8.0,7.0,10.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,6.0,3.0,0.0,0.0,4.0,9.0,8.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,7.0,4.0,0.0,0.0,8.0,6.0,8.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,6.0,5.0,0.0,0.0,4.0,6.0,6.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,5.0,3.0,0.0,0.0,7.0,6.0,9.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,5.0,2.0,0.0,0.0,6.0,8.0,7.0,7.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,7.0,3.0,0.0,0.0,5.0,9.0,10.0,11.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,5.0,3.0,0.0,0.0,6.0,4.0,8.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,5.0,3.0,0.0,0.0,4.0,8.0,9.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,4.0,2.0,0.0,0.0,3.0,6.0,4.0,4.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,7.0,3.0,0.0,0.0,6.0,6.0,8.0,8.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,4.0,1.0,0.0,0.0,5.0,6.0,5.0,5.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,4.0,3.0,0.0,0.0,5.0,8.0,9.0,5.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,7.0,3.0,0.0,0.0,4.0,5.0,10.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,5.0,4.0,0.0,0.0,3.0,3.0,6.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,6.0,3.0,0.0,0.0,5.0,7.0,10.0,11.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,6.0,3.0,0.0,0.0,6.0,6.0,7.0,8.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,8.0,5.0,0.0,0.0,5.0,8.0,8.0,11.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,6.0,8.0,0.0,0.0,4.0,8.0,7.0,8.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,4.0,3.0,0.0,0.0,5.0,5.0,7.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,4.0,2.0,0.0,0.0,6.0,8.0,7.0,11.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,7.0,1.0,0.0,0.0,3.0,7.0,5.0,7.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,6.0,4.0,0.0,0.0,3.0,7.0,5.0,8.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,8.0,3.0,0.0,0.0,5.0,8.0,9.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,5.0,2.0,0.0,0.0,4.0,8.0,6.0,7.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,4.0,3.0,0.0,0.0,7.0,8.0,10.0,10.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,8.0,4.0,0.0,0.0,6.0,7.0,8.0,10.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,8.0,3.0,0.0,0.0,8.0,7.0,8.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,6.0,3.0,0.0,0.0,3.0,8.0,9.0,8.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,4.0,2.0,0.0,0.0,2.0,6.0,6.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,2.0,3.0,0.0,0.0,3.0,5.0,6.0,12.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,1.0,6.0,3.0,0.0,0.0,4.0,7.0,8.0,12.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,2.0,1.0,0.0,0.0,3.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,2.0,0.0,0.0,1.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,3.0,0.0,0.0,3.0,4.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,2.0,0.0,0.0,2.0,2.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,2.0,0.0,0.0,3.0,3.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,2.0,2.0,0.0,0.0,2.0,4.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,2.0,0.0,0.0,3.0,4.0,2.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,3.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,3.0,0.0,0.0,2.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,3.0,0.0,0.0,3.0,4.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.2,2.0,2.0,0.0,0.0,2.0,3.0,3.0,3.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,2.0,0.0,0.0,3.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,3.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,2.0,0.0,0.0,0.0,4.0,4.0,3.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,2.0,2.0,0.0,0.0,4.0,3.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,2.0,0.0,0.0,3.0,4.0,2.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.2,3.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.2,3.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,2.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.8,2.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,3.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,2.0,0.0,0.0,3.0,3.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,3.0,0.0,0.0,2.0,4.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,2.0,0.0,0.0,3.0,3.0,4.0,3.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.2,2.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,2.0,0.0,0.0,3.0,4.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,3.0,0.0,0.0,2.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,2.0,0.0,0.0,3.0,4.0,2.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,3.0,0.0,0.0,2.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,3.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.8,3.0,3.0,0.0,0.0,4.0,3.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.2,2.0,2.0,0.0,0.0,2.0,4.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,3.0,0.0,0.0,3.0,4.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.8,3.0,3.0,0.0,0.0,4.0,4.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,2.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,2.0,3.0,0.0,0.0,2.0,3.0,4.0,4.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.2,3.0,3.0,0.0,0.0,2.0,4.0,4.0,3.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,3.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,1.0,0.0,0.0,2.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,2.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,2.0,0.0,0.0,1.0,,,0.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.8,2.0,0.0,0.0,0.0,3.0,,,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,4.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.8,2.0,1.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.8,4.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,4.0,0.0,0.0,0.0,2.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,2.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.8,3.0,1.0,0.0,0.0,2.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.6,10.0,2.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,4.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.8,4.0,2.0,0.0,0.0,2.0,,,3.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,4.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,1.0,0.0,0.0,2.0,,,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.6,4.0,4.0,0.0,0.0,5.0,,,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.6,5.0,3.0,0.0,0.0,2.0,,,13.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,1.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,4.0,1.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.8,7.0,1.0,0.0,0.0,2.0,,,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.8,3.0,1.0,0.0,0.0,1.0,,,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,2.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.6,7.0,3.0,0.0,0.0,15.0,,,0.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,4.0,0.0,0.0,0.0,3.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,4.0,1.0,0.0,0.0,2.0,,,0.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.8,5.0,1.0,0.0,0.0,1.0,,,0.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,1.0,0.0,0.0,1.0,,,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.8,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,0.8,4.0,1.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,4.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,4.0,2.0,0.0,0.0,2.0,,,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,3.0,2.0,0.0,0.0,1.0,,,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,2.0,0.0,0.0,0.0,1.0,,,2.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,2.0,0.0,0.0,2.0,7.0,1.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,10.0,5.0,0.0,0.0,0.0,6.0,9.0,2.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,5.0,2.0,0.0,0.0,2.0,7.0,4.0,7.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,2.0,5.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,11.0,5.0,0.0,0.0,4.0,5.0,5.0,23.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,3.0,5.0,3.0,9.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,1.0,0.0,0.0,2.0,5.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,14.0,4.0,0.0,0.0,3.0,6.0,8.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,1.0,0.0,0.0,1.0,5.0,4.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,3.0,0.0,0.0,4.0,4.0,6.0,8.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,4.0,0.0,0.0,4.0,6.0,9.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,2.0,6.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,6.0,0.0,0.0,4.0,11.0,5.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,15.0,3.0,0.0,0.0,0.0,6.0,7.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,5.0,1.0,0.0,0.0,3.0,4.0,7.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,8.0,1.0,0.0,0.0,0.0,5.0,5.0,14.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,4.0,0.0,0.0,4.0,9.0,8.0,27.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,2.0,6.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,11.0,3.0,0.0,0.0,6.0,8.0,7.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,7.0,1.0,0.0,0.0,3.0,4.0,4.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,1.0,0.0,0.0,1.0,4.0,5.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,10.0,6.0,0.0,0.0,10.0,8.0,9.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,3.0,0.0,0.0,3.0,4.0,9.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,2.0,0.0,0.0,2.0,5.0,3.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,3.0,0.0,0.0,2.0,5.0,8.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,8.0,5.0,0.0,0.0,0.0,7.0,5.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,14.0,6.0,0.0,0.0,3.0,5.0,8.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,4.0,0.0,0.0,3.0,6.0,7.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,10.0,3.0,0.0,0.0,7.0,9.0,6.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,3.0,0.0,0.0,5.0,5.0,8.0,11.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,2.0,0.0,0.0,5.0,4.0,9.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,3.0,0.0,0.0,3.0,5.0,4.0,7.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,8.0,1.0,0.0,0.0,2.0,9.0,3.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,8.0,2.0,0.0,0.0,1.0,13.0,1.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,7.0,1.0,0.0,0.0,1.0,3.0,5.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,1.0,0.0,0.0,1.0,5.0,4.0,13.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,4.0,3.0,0.0,0.0,3.0,5.0,2.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,3.0,2.0,0.0,0.0,3.0,7.0,3.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,11.0,4.0,0.0,0.0,4.0,4.0,10.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,11.0,3.0,0.0,0.0,4.0,5.0,11.0,8.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,4.0,3.0,0.0,0.0,3.0,4.0,5.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,4.0,3.0,0.0,0.0,2.0,5.0,5.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,14.0,6.0,0.0,0.0,0.0,4.0,8.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,7.0,3.0,0.0,0.0,2.0,2.0,8.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,7.0,2.0,0.0,0.0,2.0,6.0,3.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,8.0,3.0,0.0,0.0,0.0,6.0,5.0,2.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.8,14.0,4.0,0.0,0.0,5.0,5.0,8.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,11.0,2.0,0.0,0.0,4.0,6.0,6.0,25.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,4.0,3.0,0.0,0.0,3.0,3.0,4.0,1.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,4.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,4.0,2.0,0.0,0.0,4.0,3.0,4.0,3.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,4.0,2.0,0.0,0.0,3.0,4.0,3.0,2.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,4.0,3.0,0.0,0.0,2.0,2.0,3.0,2.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,3.0,3.0,0.0,0.0,3.0,3.0,3.0,2.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,1.0,4.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,1.0,4.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,1.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,1.0,4.0,1.0,0.0,0.0,2.0,2.0,4.0,3.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,4.0,3.0,0.0,0.0,4.0,3.0,4.0,3.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,3.0,3.0,0.0,0.0,3.0,3.0,4.0,1.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,1.0,4.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,1.0,3.0,1.0,0.0,0.0,2.0,4.0,2.0,2.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,4.0,2.0,0.0,0.0,3.0,3.0,4.0,2.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.8,4.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,1.0,4.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,4.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,1.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,1.0,3.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,3.0,2.0,0.0,0.0,3.0,3.0,4.0,2.0
